W_REGN,REGION,TOTAL_MONTHLY_2023,TOTAL_MONTHLY_2021,TOTAL_MONTHLY_2018,TOTAL_ANNUAL_2023,TOTAL_ANNUAL_2021,TOTAL_ANNUAL_2018
1,Region I - Ilocos Region,15003.845470949016,12880.137777422111,12299.488416496946,180046.1456513882,154561.65332906533,147593.86099796335
2,Region II - Cagayan Valley,13026.68400258379,12389.148409282076,10903.694674524793,156320.2080310055,148669.7809113849,130844.33609429753
3,Region III - Central Luzon,17357.704865231684,16054.074400953456,16062.291274949888,208292.45838278023,192648.89281144147,192747.49529939867
4,Region IVA - CALABARZON,17889.88928753883,16326.896394763344,16507.16719932907,214678.67145046595,195922.75673716012,198086.00639194885
5,Region V - Bicol,12420.843388649751,11634.986517820413,11634.18339634915,149050.12066379702,139619.83821384495,139610.2007561898
6,Region VI - Western Visayas,14269.892171728827,12982.079952700153,12724.200881710362,171238.70606074593,155784.95943240184,152690.41058052433
7,Region VII - Central Visayas,14017.008851266279,13283.121847066914,13104.465553624626,168204.10621519535,159397.46216480297,157253.5866434955
8,Region VIII - Eastern Visayas,12811.781854702522,12167.902703689591,11307.745784695202,153741.38225643025,146014.8324442751,135692.94941634242
9,Region IX - Zamboanga Peninsula,12014.660134052576,9905.74802956871,9736.085809147633,144175.92160863092,118868.97635482451,116833.0297097716
10,Region X - Northern Mindanao,12694.646499440836,10774.186922281177,10723.399241424802,152335.75799329003,129290.24306737412,128680.79089709763
11,Region XI - Davao,11047.23248482701,9970.362340056387,10236.794367190649,132566.78981792412,119644.34808067665,122841.53240628779
12,Region XII - SOCCSKSARGEN,11637.752494825478,10216.362858520126,10808.800516917294,139653.02993790573,122596.35430224151,129705.60620300753
13,National Capital Region,22885.439873650717,19586.48267939201,20986.494112847897,274625.2784838086,235037.79215270412,251837.92935417476
14,Cordillera Administrative Region,14569.15797604536,13406.361364271246,12512.726116576872,174829.89571254433,160876.33637125496,150152.71339892247
16,Region XIII - Caraga,12884.444706948392,11423.19385009189,10976.542122490224,154613.3364833807,137078.32620110267,131718.5054698827
17,Region IVB - MIMAROPA,11715.911072295135,10544.799423561684,10682.805562544554,140590.93286754162,126537.5930827402,128193.66675053464
19,Bangsamoro Autonomous Region in Muslim Mindanao,10709.545451903168,9679.69041240461,8212.197323684815,128514.54542283803,116156.28494885532,98546.36788421778
